k,model_family,kept_draws,mean_loglik,n_roi_units,n_subject_feature_rows,n_parameters_approx,aic_approx,bic_approx,bic_roi_approx,mean_membership_entropy,n_pointwise_units,elpd_waic,p_waic,waic,elpd_loo,p_loo,looic,pareto_k_max,pareto_k_bad,loo_method,requested_K,occupied_K,effective_K,terminal_cluster_count,empty_cluster_count,minimum_cluster_size,maximum_cluster_size,mean_max_posterior,mean_max_posterior_probability,stable_080_fraction,stable_090_fraction,uncertain_060_fraction,interpretable_cluster_fraction,cluster_size_balance,effect_strength_score,mean_coclustering_entropy,coclustering_sharpness,confident_pair_fraction,delta_bic,delta_aic,delta_waic,delta_looic,model_performance_score,assignment_stability_score,coclustering_score,interpretability_score,overall_score,overall_recommended_K,is_lowest_bic
2,Bayesian hierarchical ROI mixture clustering,2000,-10321.6081179936,61,10736,29,20701.2162359872,20912.3756139043,20762.4315780482,-1.11022302462516e-15,61,-10514.7682265466,343.857888977445,21029.5364530931,-10478.5269922387,307.61665466962,20957.0539844774,2.57491166090136,18,psis_loo,2,2,2,2,0,3,58,1,1,1,1,0,1,0.0517241379310345,0.967249023805837,-1.11022302462516e-15,1,1,0,0,0,0,1,1,1,0.852845974260531,0.97792689613908,TRUE,TRUE
3,Bayesian hierarchical ROI mixture clustering,2000,-10323.6574221817,61,10736,44,20735.3148443635,21055.6945901688,20828.1932943871,0.0075183737132679,61,-10515.387592102,344.691979135823,21030.7751842041,-10486.7688932058,316.07328023955,20973.5377864116,2.60193237449582,27,psis_loo,3,2,2,2,1,3,58,0.999049180327869,0.999049180327869,1,1,0,1,0.0517241379310345,0.967249023805837,-1.11022302462516e-15,1,1,143.318976264523,34.0986083763492,1.23873111099238,16.483801934115,0.6875,0.997908792462584,1,0.769512640927197,0.839904094254726,FALSE,FALSE
4,Bayesian hierarchical ROI mixture clustering,2000,-10328.6349886665,61,10736,59,20775.269977333,21204.8700910265,20899.8115353192,0.0312194371917776,61,-10515.4433720038,345.903370749072,21030.8867440075,-10487.940232483,318.400231228303,20975.880464966,2.61013824057649,24,psis_loo,4,2,2,2,2,3,58,0.987696721311475,0.987696721311475,0.950819672131147,0.950819672131147,0,1,0.0517241379310345,0.967249023805837,-1.11022302462516e-15,1,1,292.494477122211,74.053741345866,1.35029091442266,18.826480488533,0.4375,0.972235557868501,1,0.727845974260531,0.727235785606205,FALSE,FALSE
5,Bayesian hierarchical ROI mixture clustering,2000,-10328.0481024477,61,10736,74,20804.0962048954,21342.9166864771,20960.3008708443,0.0394214609073036,61,-10520.1374557474,344.159557336529,21040.2749114949,-10486.3541491574,310.376250746524,20972.7082983149,2.45988175026936,30,psis_loo,5,2,1,2,3,3,58,0.980540983606557,0.980540983606557,0.950819672131147,0.950819672131147,0,1,0.0517241379310345,0.967249023805837,-1.11022302462516e-15,1,1,430.5410725728,102.879968908281,10.7384584017927,15.65431383744,0.375,0.968879795980254,1,0.702845974260531,0.697646845134143,FALSE,FALSE
6,Bayesian hierarchical ROI mixture clustering,2000,-10323.8106355106,61,10736,89,20825.6212710212,21473.662120491,21013.4890449326,0.0425106036315301,61,-10520.8569956001,351.984753569266,21041.7139912001,-10489.4015377776,320.529295746807,20978.8030755552,3.0484825794665,20,psis_loo,6,2,1,2,4,3,58,0.974688524590164,0.974688524590164,0.950819672131147,0.950819672131147,0.0491803278688525,1,0.0517241379310345,0.967249023805837,-1.11022302462516e-15,1,1,561.286506586752,124.405035034062,12.1775381070074,21.7490910777524,0,0.966730890175001,1,0.686179307593864,0.54460961868283,FALSE,FALSE
