roi_id,source_system,component_id,n_voxels,n_voxels_assigned,centroid_i,centroid_j,centroid_k,map_source,source_path,emotion_generation_n,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_2logbf,emotion_generation_signed_2logbf,emotion_generation_signed_logbf,emotion_generation_p_gt0,emotion_generation_p_lt0,emotion_generation_p_rope,reappraisal_effect_n,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_2logbf,reappraisal_effect_signed_2logbf,reappraisal_effect_signed_logbf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,reappraisal_effect_p_rope,look_neu_base_n,look_neu_base_mean,look_neu_base_sd,look_neu_base_t,look_neu_base_2logbf,look_neu_base_signed_2logbf,look_neu_base_signed_logbf,look_neu_base_p_gt0,look_neu_base_p_lt0,look_neu_base_p_rope,look_neg_base_n,look_neg_base_mean,look_neg_base_sd,look_neg_base_t,look_neg_base_2logbf,look_neg_base_signed_2logbf,look_neg_base_signed_logbf,look_neg_base_p_gt0,look_neg_base_p_lt0,look_neg_base_p_rope,reg_neg_base_n,reg_neg_base_mean,reg_neg_base_sd,reg_neg_base_t,reg_neg_base_2logbf,reg_neg_base_signed_2logbf,reg_neg_base_signed_logbf,reg_neg_base_p_gt0,reg_neg_base_p_lt0,reg_neg_base_p_rope,look_negative_minus_neutral_n,look_negative_minus_neutral_mean,look_negative_minus_neutral_sd,look_negative_minus_neutral_t,look_negative_minus_neutral_2logbf,look_negative_minus_neutral_signed_2logbf,look_negative_minus_neutral_signed_logbf,look_negative_minus_neutral_p_gt0,look_negative_minus_neutral_p_lt0,look_negative_minus_neutral_p_rope,regulate_negative_minus_look_negative_n,regulate_negative_minus_look_negative_mean,regulate_negative_minus_look_negative_sd,regulate_negative_minus_look_negative_t,regulate_negative_minus_look_negative_2logbf,regulate_negative_minus_look_negative_signed_2logbf,regulate_negative_minus_look_negative_signed_logbf,regulate_negative_minus_look_negative_p_gt0,regulate_negative_minus_look_negative_p_lt0,regulate_negative_minus_look_negative_p_rope,look_neutral_base_n,look_neutral_base_mean,look_neutral_base_sd,look_neutral_base_t,look_neutral_base_2logbf,look_neutral_base_signed_2logbf,look_neutral_base_signed_logbf,look_neutral_base_p_gt0,look_neutral_base_p_lt0,look_neutral_base_p_rope,look_negative_base_n,look_negative_base_mean,look_negative_base_sd,look_negative_base_t,look_negative_base_2logbf,look_negative_base_signed_2logbf,look_negative_base_signed_logbf,look_negative_base_p_gt0,look_negative_base_p_lt0,look_negative_base_p_rope,regulate_negative_base_n,regulate_negative_base_mean,regulate_negative_base_sd,regulate_negative_base_t,regulate_negative_base_2logbf,regulate_negative_base_signed_2logbf,regulate_negative_base_signed_logbf,regulate_negative_base_p_gt0,regulate_negative_base_p_lt0,regulate_negative_base_p_rope,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,cluster,max_posterior,roi_role_from_route_a_effects
48,non_modifiable_emotion,18,1561,1561,19.6816143497758,23.4766175528507,27.9429852658552,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii,182,0.490368494976372,0.25742908113481,25.6980782662195,100,100,50,1,6.14075057526459e-146,3.86913306020992e-118,182,-0.00409999047260272,0.171314050725939,-0.32286841180424,-4.88042957248505,-4.88042957248505,-2.44021478624252,0.373397449951678,0.626602550048322,0.999839363398223,182,0.632068513948081,0.373700599444509,22.817920164781,100,100,50,1,1.52218853674319e-115,2.49931136280636e-98,182,1.12243700892445,0.497116424222739,30.4606775813831,100,100,50,1,4.32524859966936e-204,1.60783021697206e-186,182,1.11833701845185,0.503613369923525,29.9578846079331,100,100,50,1,1.73671603905863e-197,1.97805536215327e-180,182,0.490368494976372,0.25742908113481,25.6980782662195,100,100,50,1,6.14075057526459e-146,3.86913306020992e-118,182,-0.00409999047260272,0.171314050725939,-0.32286841180424,-4.88042957248505,-4.88042957248505,-2.44021478624252,0.373397449951678,0.626602550048322,0.999839363398223,182,0.632068513948081,0.373700599444509,22.817920164781,100,100,50,1,1.52218853674319e-115,2.49931136280636e-98,182,1.12243700892445,0.497116424222739,30.4606775813831,100,100,50,1,4.32524859966936e-204,1.60783021697206e-186,182,1.11833701845185,0.503613369923525,29.9578846079331,100,100,50,1,1.73671603905863e-197,1.97805536215327e-180,0,0.81,0.1775,0.0115,0.001,2,0.81,Non-modifiable-emotion-like: emotion generation with evidence against reappraisal modulation
54,modifiable_emotion,1,3757,3738,57.2629757785467,27.3654511578387,51.1243013042321,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii,182,0.345653617256794,0.20630996123214,22.6025064923855,100,100,50,1,2.04729283925045e-113,1.41791785775442e-83,182,-0.118344268382596,0.134068179506594,-11.9085041114009,98.4750568475861,-98.4750568475861,-49.237528423793,5.34387101631982e-33,1,3.05189207239209e-12,182,0.676090733353233,0.274912624971125,33.1776783753004,100,100,50,1,1.12988286570723e-241,1.35911859533808e-207,182,1.02174435061003,0.328445894719605,41.9675968322342,100,100,50,1,0,0,182,0.90340008222743,0.295021727035244,41.310630055652,100,100,50,1,0,0,182,0.345653617256794,0.20630996123214,22.6025064923855,100,100,50,1,2.04729283925045e-113,1.41791785775442e-83,182,-0.118344268382596,0.134068179506594,-11.9085041114009,98.4750568475861,-98.4750568475861,-49.237528423793,5.34387101631982e-33,1,3.05189207239209e-12,182,0.676090733353233,0.274912624971125,33.1776783753004,100,100,50,1,1.12988286570723e-241,1.35911859533808e-207,182,1.02174435061003,0.328445894719605,41.9675968322342,100,100,50,1,0,0,182,0.90340008222743,0.295021727035244,41.310630055652,100,100,50,1,0,0,0,0.81,0.1775,0.0115,0.001,2,0.81,Modifiable-emotion-like: emotion generation down-regulated during reappraisal
57,modifiable_emotion,4,3884,3862,22.5818743563337,20.6779093717817,39.1125128733265,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii,182,0.498729581062335,0.228139414372572,29.4917470163434,100,100,50,1,1.83672900779767e-191,1.91012389962413e-155,182,-0.136723423961613,0.128033486914252,-14.4063859843789,100,-100,-50,2.35879086214231e-47,1,0,182,0.804485148293898,0.357570814528422,30.3523038463423,100,100,50,1,1.1713077974561e-202,1.55061062777886e-178,182,1.30321472935623,0.394274603970028,44.5915809064383,100,100,50,1,0,0,182,1.16649130539462,0.374612411906155,42.0082932938512,100,100,50,1,0,0,182,0.498729581062335,0.228139414372572,29.4917470163434,100,100,50,1,1.83672900779767e-191,1.91012389962413e-155,182,-0.136723423961613,0.128033486914252,-14.4063859843789,100,-100,-50,2.35879086214231e-47,1,0,182,0.804485148293898,0.357570814528422,30.3523038463423,100,100,50,1,1.1713077974561e-202,1.55061062777886e-178,182,1.30321472935623,0.394274603970028,44.5915809064383,100,100,50,1,0,0,182,1.16649130539462,0.374612411906155,42.0082932938512,100,100,50,1,0,0,0,0.81,0.1775,0.0115,0.001,2,0.81,Modifiable-emotion-like: emotion generation down-regulated during reappraisal
