cluster,dataset,subject,emotion_generation,reappraisal_effect,look_neg_base,reg_neg_base
1,AHAB,1,0.425413408197094,-0.0620003563705849,1.77791079699945,1.71591044062887
1,AHAB,2,0.438847533406709,-0.216198786993336,1.33454223561413,1.1183434486208
1,AHAB,3,0.587411554414914,-0.304859879335323,1.61646821361958,1.31160833428426
1,AHAB,4,0.605964372162614,-0.172789192975288,1.78773331521301,1.61494412223772
1,AHAB,5,0.451832153410964,-0.0377358357542459,1.45412836799418,1.41639253223993
1,AHAB,6,0.295587997991274,-0.186705894934078,1.55087449267809,1.36416859774401
1,AHAB,7,0.801966651436348,-0.206725801271686,1.33324977221831,1.12652397094663
1,AHAB,8,0.260116315887678,0.163215211407858,0.0141186640213972,0.177333875429255
1,AHAB,9,0.378971022802931,-0.0806748605512343,1.368544684288,1.28786982373677
1,AHAB,10,0.169478591195565,-0.0101423989969424,0.420719096143125,0.410576697146183
1,AHAB,11,0.4365413856254,-0.0521407935219924,1.29516295701444,1.24302216349244
1,AHAB,12,0.81892474528274,-0.140861813426317,1.37480486004963,1.23394304662331
1,AHAB,13,0.114747208751753,0.108686799488441,0.78805788855538,0.896744688043821
1,AHAB,14,0.417719199911092,-0.138954906742762,1.39040912299524,1.25145421625248
1,AHAB,15,0.280448830459163,-0.0237514967916525,0.938026306480537,0.914274809688885
1,AHAB,16,0.283060641427934,-0.0844624486085225,0.855286418500175,0.770823969891652
1,AHAB,17,0.629602060531861,-0.03506564223507,1.91387642564403,1.87881078340896
1,AHAB,18,0.595883682977981,-0.148307710806458,1.23768888037132,1.08938116956486
1,AHAB,19,0.607980038836756,-0.0420014552334209,1.06803703574115,1.02603558050773
1,AHAB,20,0.568591965322082,-0.0220470440449707,1.40641035006768,1.38436330602271
1,AHAB,21,0.728871248925183,-0.128494584000441,1.16019160565281,1.03169702165236
1,AHAB,22,0.490508045368077,-0.206748826174108,0.812954876394239,0.606206050220131
1,AHAB,23,0.817531383485257,0.0375152135664655,1.35975865617166,1.39727386973813
1,AHAB,24,0.435233730800007,-0.112090756172092,1.03905814221987,0.926967386047778
1,AHAB,25,0.310123242999578,0.138286700189796,1.14278223946912,1.28106893965892
1,AHAB,26,0.40209265582352,-0.156658828973685,1.20595707827329,1.0492982492996
1,AHAB,27,0.328019037390337,-0.102306880271053,0.44345417651055,0.341147296239497
1,AHAB,28,0.590078708528852,-0.149135411943506,1.37105642156913,1.22192100962562
1,AHAB,29,0.466839527862139,-0.127465978557542,1.038731369461,0.911265390903459
1,AHAB,30,0.0931768333479492,-0.05279334493918,0.678604729821895,0.625811384882715
1,AHAB,31,0.321133219840335,-0.0328761470084522,1.07452001751349,1.04164387050504
