dataset,subject,cluster,emotion_generation,reappraisal_effect,look_neg_base,reg_neg_base,reg_success,emotion_reactivity
AHAB,1,2,0.167187008968598,0.0363230616938376,0.66308965559898,0.699412717292818,0.37362637362637,1.87362637362637
AHAB,1,1,0.425413408197094,-0.0620003563705849,1.77791079699945,1.71591044062887,0.37362637362637,1.87362637362637
AHAB,2,2,0.120166616128596,0.0375630834877214,0.242143535396163,0.279706618883885,1.13333333333333,2.6
AHAB,2,1,0.438847533406709,-0.216198786993336,1.33454223561413,1.1183434486208,1.13333333333333,2.6
AHAB,3,2,0.19665498016851,0.0346152844727989,0.53747372458894,0.572089009061739,1.02380952380953,3.29047619047619
AHAB,3,1,0.587411554414914,-0.304859879335323,1.61646821361958,1.31160833428426,1.02380952380953,3.29047619047619
AHAB,4,2,0.241553034271406,0.0041205273770845,0.334505269326536,0.33862579670362,0.53333333333333,2.33333333333333
AHAB,4,1,0.605964372162614,-0.172789192975288,1.78773331521301,1.61494412223772,0.53333333333333,2.33333333333333
AHAB,5,2,0.0919227538977191,0.131389126257607,0.415752201030188,0.547141327287795,1.53333333333333,2.46666666666667
AHAB,5,1,0.451832153410964,-0.0377358357542459,1.45412836799418,1.41639253223993,1.53333333333333,2.46666666666667
AHAB,6,2,0.204949489986714,0.0800576267590045,0.376858854016998,0.456916480776003,1.86666666666667,2.52380952380953
AHAB,6,1,0.295587997991274,-0.186705894934078,1.55087449267809,1.36416859774401,1.86666666666667,2.52380952380953
AHAB,7,2,0.384297754399526,-0.0459395057558499,0.337766539188088,0.291827033432238,0.70879120879121,1.92307692307692
AHAB,7,1,0.801966651436348,-0.206725801271686,1.33324977221831,1.12652397094663,0.70879120879121,1.92307692307692
AHAB,8,2,0.207986623921737,0.163618025016112,0.300010803173687,0.463628828189799,0.2,1.26666666666667
AHAB,8,1,0.260116315887678,0.163215211407858,0.0141186640213972,0.177333875429255,0.2,1.26666666666667
AHAB,9,2,-0.0464240422921676,0.214342831661284,0.244281199574077,0.458624031235361,0.0769230769230802,1.76923076923077
AHAB,9,1,0.378971022802931,-0.0806748605512343,1.368544684288,1.28786982373677,0.0769230769230802,1.76923076923077
AHAB,10,2,0.166787603718666,0.111620863434281,0.306836305739403,0.418457169173684,0.70952380952381,2.56593406593406
AHAB,10,1,0.169478591195565,-0.0101423989969424,0.420719096143125,0.410576697146183,0.70952380952381,2.56593406593406
AHAB,11,2,0.0967852156416974,0.133688567432083,0.364484625928336,0.498173193360419,1.23076923076923,3.08791208791209
AHAB,11,1,0.4365413856254,-0.0521407935219924,1.29516295701444,1.24302216349244,1.23076923076923,3.08791208791209
AHAB,12,2,0.27583835901275,0.112896284440832,0.29543999103535,0.408336275476182,0.2952380952381,2.21428571428572
AHAB,12,1,0.81892474528274,-0.140861813426317,1.37480486004963,1.23394304662331,0.2952380952381,2.21428571428572
AHAB,13,2,0.0151118372290646,0.13537496878967,0.183150662816051,0.318525631605722,0.34761904761904,2.21428571428571
AHAB,13,1,0.114747208751753,0.108686799488441,0.78805788855538,0.896744688043821,0.34761904761904,2.21428571428571
AHAB,14,2,0.153028787987477,0.0762184829386555,0.324793292685425,0.401011775624081,0.44761904761904,1.71428571428571
AHAB,14,1,0.417719199911092,-0.138954906742762,1.39040912299524,1.25145421625248,0.44761904761904,1.71428571428571
AHAB,15,2,0.081848393450846,0.0195483939934822,0.099962317609105,0.119510711602587,0.73333333333333,2.13333333333333
AHAB,15,1,0.280448830459163,-0.0237514967916525,0.938026306480537,0.914274809688885,0.73333333333333,2.13333333333333
AHAB,16,2,0.0887347379602579,0.0502782955132528,0.222329816135399,0.272608111648651,-0.01587301587301,2.42857142857143
AHAB,16,1,0.283060641427934,-0.0844624486085225,0.855286418500175,0.770823969891652,-0.01587301587301,2.42857142857143
AHAB,17,2,0.253403166011879,0.165771499141115,0.7474205248499,0.913192023991015,1.44285714285714,2.64285714285714
AHAB,17,1,0.629602060531861,-0.03506564223507,1.91387642564403,1.87881078340896,1.44285714285714,2.64285714285714
AHAB,18,2,0.184355072594362,0.0753411335050436,0.339187763568179,0.414528897073222,1.14285714285714,2.85164835164835
AHAB,18,1,0.595883682977981,-0.148307710806458,1.23768888037132,1.08938116956486,1.14285714285714,2.85164835164835
AHAB,19,2,0.194327523951487,0.00600632757640554,0.425548646821226,0.431554974397632,0.8,2.8
AHAB,19,1,0.607980038836756,-0.0420014552334209,1.06803703574115,1.02603558050773,0.8,2.8
AHAB,20,2,0.227113131068906,0.0173228253377473,0.32335083106071,0.340673656398457,-0.31666666666667,1.31410256410256
AHAB,20,1,0.568591965322082,-0.0220470440449707,1.40641035006768,1.38436330602271,-0.31666666666667,1.31410256410256
