roi_id,source_system,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_signed_logbf,emotion_generation_p_gt0,emotion_generation_p_lt0,emotion_generation_p_rope,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_signed_logbf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,reappraisal_effect_p_rope,look_neutral_base_mean,look_negative_base_mean,regulate_negative_base_mean,look_negative_minus_neutral_mean,regulate_negative_minus_look_negative_mean,z_emotion_generation_mean,z_emotion_generation_sd,z_emotion_generation_t,z_emotion_generation_signed_logbf,z_emotion_generation_p_gt0,z_emotion_generation_p_lt0,z_emotion_generation_p_rope,z_reappraisal_effect_mean,z_reappraisal_effect_sd,z_reappraisal_effect_t,z_reappraisal_effect_signed_logbf,z_reappraisal_effect_p_gt0,z_reappraisal_effect_p_lt0,z_reappraisal_effect_p_rope,z_look_neutral_base_mean,z_look_negative_base_mean,z_regulate_negative_base_mean,z_look_negative_minus_neutral_mean,z_regulate_negative_minus_look_negative_mean
1,reappraisal_only,-0.00115424828968255,0.312548010188224,-0.0498216601972255,-2.49029550895195,0.480132252887122,0.519867747112878,0.968878421673841,0.199389820438711,0.209262648528085,12.854256405713,50,1,4.07024413836465e-38,2.96163888452277e-22,-2.40834370142491e-05,-0.00117833172669681,0.198211488712014,-0.00115424828968255,0.199389820438711,-1.26655643288922,0.959186883766012,-1.25740682864114,-1.43499620576836,-3.18662311526825,3.18662311526825,1.71677355413506,1.96353388206368,0.395902206688664,1.72742459609498,2.21487026725244,0.656014384280943,-0.656014384280943,-1.02254940921615,-0.746483965679365,-1.20855709267272,-0.714933893482973,-1.26655643288922,1.96353388206368
2,reappraisal_only,0.00415687392667125,0.207251057289237,0.270586292594397,2.45548141354339,0.606645380205542,0.393354619794458,0.99836639956277,0.233200967595178,0.193010026535818,16.299946224475,50,1,4.93894992508587e-60,7.67461057760844e-38,0.0331589085611648,0.037315782487836,0.270516750083014,0.00415687392667125,0.233200967595178,-1.22675230454611,-0.519260296134324,-1.21546805620313,-1.19881249453868,-2.29554302910949,2.29554302910949,1.78723938675493,2.40075738822247,0.116463571637887,2.34502288355189,2.21487026725244,0.656014384280943,-0.656014384280943,-1.02254940921615,-0.585864611587554,-1.06462203903747,-0.413293502591068,-1.22675230454611,2.40075738822247
3,reappraisal_only,0.0157376829849858,0.162592675093344,1.30579653039042,1.65599303684276,0.904189119854273,0.0958108801457274,0.99776425530749,0.0505560341610629,0.134254270216301,5.08019735987423,9.39766742048768,0.999999811478524,1.88521476304938e-07,0.477721127780016,-0.0150746049278083,0.000663078057177492,0.0512191122182404,0.0157376829849858,0.0505560341610629,-1.13996009918982,-1.14629704694866,-1.07996752879686,-1.23699176037562,-0.199829273691269,0.199829273691269,1.78580047505792,0.0389132955434694,-0.893750555972605,0.334018397093614,0.00607628459026754,0.656013852797268,-0.656013852797268,0.0266322180772663,-0.819334691157312,-1.20167179549379,-1.32815120385557,-1.13996009918982,0.0389132955434694
4,reappraisal_only,0.00881366691510785,0.192125756426368,0.618880412148334,2.30316392636501,0.73200242830141,0.26799757169859,0.998068056315894,0.0954192830105287,0.138277941610823,9.30934095902142,32.4580109281593,1,6.43139884696798e-21,4.68512689912316e-06,0.0609173998142465,0.0697310667293544,0.165150349739883,0.00881366691510785,0.0954192830105287,-1.19185203710202,-0.731630718926199,-1.16987921331018,-1.20608635867989,-1.41260564873213,1.41260564873213,1.78652645196581,0.619055308142584,-0.824569765149249,1.09204131314967,1.26057435753028,0.656014384280943,-0.656014384280943,-1.02253911963761,-0.451502076229746,-0.943416608776049,-0.852857119176271,-1.19185203710202,0.619055308142584
5,reappraisal_only,0.0193441441523432,0.324305713564615,0.804693723327193,2.17331009236159,0.78950177874685,0.21049822125315,0.896929865743086,0.104753224654014,0.22655311408645,6.23782316305013,14.8838225576983,0.999999999778149,2.21850910400356e-10,0.000556210058666703,0.13993227381173,0.159276417964073,0.264029642618087,0.0193441441523432,0.104753224654014,-1.11293152832999,1.12427374449983,-1.1455577752635,-1.21228747953774,-1.00761584858247,1.00761584858247,1.54484196497847,0.739755699429535,0.69318495265547,0.54150884201539,0.304526784479444,0.656014383655496,-0.656014383655496,-1.02132784847593,-0.0690375285536951,-0.608593605422195,-0.440356175408721,-1.11293152832999,0.739755699429535
6,reappraisal_only,0.00315791597311959,0.228878443567024,0.186136426725653,2.47446315172473,0.573831111674232,0.426168888325768,0.996254468106522,0.101457328953792,0.184877679226507,7.40345835424066,21.1233168060669,0.999999999999934,6.63413929198537e-14,8.67051197046635e-05,0.181262296670548,0.184420212643667,0.285877541597459,0.00315791597311959,0.101457328953792,-1.23423898042604,-0.215595780014064,-1.22652185083036,-1.19790602879235,-2.52666640618421,2.52666640618421,1.78219261789675,0.697135345044153,-0.0233595309331146,0.750434873011824,0.643959434652012,0.656014384280756,-0.656014384280756,-1.02235898552899,0.131016811830903,-0.514577325020691,-0.349211925829287,-1.23423898042604,0.697135345044153
7,reappraisal_only,0.00959443869139846,0.29900881815144,0.432883736514487,2.39931694823004,0.667450382118001,0.332549617881999,0.962264727397386,0.155490990687668,0.252814716865062,8.29733401134991,26.2936724713292,1,5.32368561294006e-17,9.0509848678148e-09,0.128900391761962,0.13849483045336,0.293985821141028,0.00959443869139846,0.155490990687668,-1.18600055435993,0.769086603237339,-1.19422465225971,-1.2014946073927,-1.86727026808077,1.86727026808077,1.70096916511798,1.39586310262526,1.14471249314664,0.910651289482078,0.925230232562206,0.656014384280943,-0.656014384280943,-1.02254938933818,-0.122436383284697,-0.686298963085697,-0.315386107837515,-1.18600055435993,1.39586310262526
8,reappraisal_only,0.00976054859787397,0.313788168110976,0.419636598791452,2.4048709996518,0.662624526127772,0.337375473872228,0.953091363067119,0.147598267024106,0.29097617526132,6.8432045456017,18.0451285084276,0.999999999996128,3.87204757908348e-12,3.01950962499072e-06,0.253842799878319,0.263603348476193,0.411201615500299,0.00976054859787397,0.147598267024106,-1.18475564607745,0.976599619206537,-1.19595859390998,-1.20122937576222,-1.90126060776102,1.90126060776102,1.67904807043009,1.29379959388493,1.80083959995258,0.650016143829479,0.476503937458293,0.656014384270027,-0.656014384270027,-1.02254277770283,0.482336353647101,-0.218500141907883,0.17361036847447,-1.18475564607745,1.29379959388493
9,reappraisal_only,0.0359199829101182,0.240510276280301,2.01482893043383,0.514808713922387,0.978038711685928,0.021961288314072,0.785170675344024,0.109042641329191,0.194135339902654,7.5775263695492,22.106668954899,0.999999999999982,1.76102724942159e-14,2.03952325307256e-05,-0.0692908623153956,-0.0333708794052774,0.0756717619239134,0.0359199829101182,0.109042641329191,-0.98870414540939,-0.0522762365842102,-0.987161004434671,-1.29148858722572,0.320321496801615,-0.320321496801615,1.27777704672413,0.795223613292906,0.135811590153464,0.781634462588985,0.697454447652179,0.656014384280893,-0.656014384280893,-1.02250461675877,-1.0817637163443,-1.32892967875037,-1.22614055240773,-0.98870414540939,0.795223613292906
10,reappraisal_only,0.0264420804506044,0.301432551503888,1.18342616351563,1.80469060758962,0.881679853353673,0.118320146646327,0.853825625478104,0.127509223620534,0.219122526553338,7.85037257380004,23.6717685768585,0.999999999999998,2.07401569274678e-15,9.11946954386615e-07,-0.0415548985206837,-0.0151128180700794,0.112396405550455,0.0264420804506044,0.127509223620534,-1.05973614779116,0.803117614022558,-1.09598480591125,-1.22989076397805,-0.358370601044927,0.358370601044928,1.44183808349295,1.03402130385416,0.565427521339714,0.830538849619673,0.782596911338992,0.656014384280937,-0.656014384280937,-1.02254740637823,-0.947510223167282,-1.26066014998783,-1.07293405472236,-1.05973614779116,1.03402130385416
11,reappraisal_only,0.0193893349306987,0.285594672444909,0.915900940435512,2.07949482816873,0.820140573244513,0.179859426755487,0.925383604644437,0.118265135368278,0.219779436451013,7.25947763765959,20.3192835912372,0.999999999999806,1.94294013374377e-13,1.39278264495579e-05,0.393206378204214,0.412595713134913,0.530860848503191,0.0193893349306987,0.118265135368278,-1.11259284669769,0.580742065768928,-1.13100166287261,-1.21676759208917,-0.791815162760654,0.791815162760654,1.61283633239099,0.914482837496043,0.57672206847463,0.724628068376335,0.600219491305194,0.656014384280395,-0.656014384280395,-1.02251882061797,1.15691349653576,0.338603831932844,0.672800290928643,-1.11259284669769,0.914482837496043
12,reappraisal_only,0.0331702999476158,0.237970175102992,1.88045334375748,0.767274117787273,0.969976840337177,0.0300231596628236,0.829979856473741,0.0798848853802701,0.205109294399938,5.25430125966259,10.1710823403062,0.999999925706252,7.42937476964191e-08,0.0246706369941765,0.145732076663,0.178902376610615,0.258787261990886,0.0331702999476158,0.0798848853802701,-1.00931160445172,-0.0879411377884907,-1.00474966633193,-1.27943219710212,0.263538669846705,-0.263538669846705,1.38485513357069,0.418174700142648,0.324491722337016,0.365224418530417,0.0481505722596001,0.656014174830461,-0.656014174830461,-0.96836721470405,-0.0409640929851984,-0.535209311015785,-0.462226143259048,-1.00931160445172,0.418174700142648
13,reappraisal_only,0.0226686111757807,0.222089892945402,1.37699325367583,1.56287558730583,0.915742833186232,0.0842571668137684,0.951560967090647,0.0704949903714657,0.147939408557125,6.42850626414924,15.8597804307208,0.999999999935568,6.44319719469101e-11,0.0308143311594983,0.270453010426835,0.293121621602615,0.363616611974081,0.0226686111757807,0.0704949903714657,-1.08801635848776,-0.310912056941619,-1.07064846180685,-1.2414385490514,-0.118452075217759,0.118452075217759,1.67539096558803,0.296750756754583,-0.6584558213593,0.575686485065133,0.357619543942026,0.656014384099295,-0.656014384099295,-0.954874298717857,0.56273661682343,-0.108127054687514,-0.0249029733222325,-1.08801635848776,0.296750756754583
14,reappraisal_only,0.00333567651615423,0.0899268713889476,0.500414790153631,2.36832708604788,0.691608479358563,0.308391520641437,0.999999999998724,0.0493129404337477,0.0886345790184284,7.5057381129397,21.6996503685359,0.999999999999969,3.05417140674395e-14,0.541643380368999,0.0513641197695518,0.054699796285706,0.104012736719454,0.00333567651615423,0.0493129404337477,-1.23290675661701,-2.16657873226028,-1.18538539135375,-1.20297451657085,-1.69711559854699,1.69711559854699,1.79114311373551,0.0228384254591875,-1.67811041162152,0.768767284556845,0.675312364986612,0.656014384280857,-0.656014384280857,0.167019672371423,-0.497743888008541,-0.999620700275721,-1.10790873146568,-1.23290675661701,0.0228384254591875
15,reappraisal_only,0.0140391786010983,0.230545930648065,0.821523388325963,2.15988526839701,0.794325896210495,0.205674103789505,0.982234538035985,0.0645697680406348,0.157719622677353,5.52305274618218,11.4023746121186,0.999999983342017,1.66579832007446e-08,0.106337666832721,0.0876250946315624,0.101664273232661,0.166234041273296,0.0140391786010983,0.0645697680406348,-1.15268951563582,-0.192183026799349,-1.1433549101834,-1.2129285769419,-0.973637754006363,0.973637754006363,1.74868994608202,0.220129680567268,-0.490300204034227,0.413394876858448,0.11513369337836,0.656014337318409,-0.656014337318409,-0.789008291098561,-0.322225828594395,-0.82401373681534,-0.848336215281497,-1.15268951563582,0.220129680567268
