dataset,subject,roi_id,source_system,emotion_generation,reappraisal_effect,look_neu_base,look_neg_base,reg_neg_base,look_negative_minus_neutral,regulate_negative_minus_look_negative
AHAB,1,1,reappraisal_only,0.0219181131075119,0.0755126519690988,0.327506565473499,0.349424678581011,0.42493733055011,0.0219181131075119,0.0755126519690988
AHAB,1,2,reappraisal_only,0.25542207413867,0.140604454249202,0.763453110229808,1.01887518436848,1.15947963861768,0.25542207413867,0.140604454249202
AHAB,1,3,reappraisal_only,0.0951859548583563,0.0967627437383836,0.372567587801063,0.467753542659419,0.564516286397802,0.0951859548583563,0.0967627437383836
AHAB,1,4,reappraisal_only,0.155681782110689,0.131719677970051,0.375620001103213,0.531301783213902,0.663021461183953,0.155681782110689,0.131719677970051
AHAB,1,5,reappraisal_only,0.0659833542658421,-0.12619931233517,-0.105516133015888,-0.0395327787500455,-0.165732091085216,0.0659833542658421,-0.12619931233517
AHAB,1,6,reappraisal_only,0.109007880711382,0.0436596844723462,0.184581515260209,0.293589395971591,0.337249080443937,0.109007880711382,0.0436596844723462
AHAB,1,7,reappraisal_only,0.172714782607892,0.0107733513792372,0.0412173963659866,0.213932178973879,0.224705530353116,0.172714782607892,0.0107733513792372
AHAB,1,8,reappraisal_only,-0.534149518609047,0.458256343193352,0.852945111827417,0.31879559321837,0.777051936411722,-0.534149518609047,0.458256343193352
AHAB,1,9,reappraisal_only,-0.0531977925216779,-0.0245994834258454,0.588897962565534,0.535700170043856,0.511100686618011,-0.0531977925216779,-0.0245994834258454
AHAB,1,10,reappraisal_only,-0.214707508344542,0.402308532798832,0.603269011459567,0.388561503115025,0.790870035913858,-0.214707508344542,0.402308532798832
AHAB,1,11,reappraisal_only,-0.356893126453672,0.372893754925047,1.70283869164331,1.34594556518963,1.71883932011468,-0.356893126453672,0.372893754925047
AHAB,1,12,reappraisal_only,-0.129191941561876,0.332503694127081,-0.0850744028389454,-0.214266344400821,0.11823734972626,-0.129191941561876,0.332503694127081
AHAB,1,13,reappraisal_only,0.0873451024559992,0.117204731463322,0.199528863547104,0.286873966003103,0.404078697466425,0.0873451024559992,0.117204731463322
AHAB,1,14,reappraisal_only,0.000412905192645002,-0.0660893161455417,-0.0220610252651716,-0.0216481200725266,-0.0877374362180683,0.000412905192645002,-0.0660893161455417
AHAB,1,15,reappraisal_only,-0.164931786871265,-0.228018129551102,-0.0916653981023445,-0.25659718497361,-0.484615314524712,-0.164931786871265,-0.228018129551102
AHAB,1,16,reappraisal_only,0.114817098987394,0.104700728975769,0.0111080127427596,0.125925111730154,0.230625840705923,0.114817098987394,0.104700728975769
AHAB,1,17,common_appraisal,0.3133165187519,0.163802440628266,0.732435453708572,1.04575197246047,1.20955441308874,0.3133165187519,0.163802440628266
AHAB,1,18,common_appraisal,0.198047007817007,0.126919787274994,0.796811761931714,0.994858769748721,1.12177855702371,0.198047007817007,0.126919787274994
AHAB,1,19,common_appraisal,0.193847059888749,0.0230311423205335,0.810355674814345,1.00420273470309,1.02723387702363,0.193847059888749,0.0230311423205335
AHAB,1,20,common_appraisal,0.120355736902125,0.0853925679940166,0.798327071086334,0.918682807988459,1.00407537598248,0.120355736902125,0.0853925679940166
AHAB,1,21,common_appraisal,0.271793448599552,-0.193616305193705,1.06047821762974,1.33227166622929,1.13865536103558,0.271793448599552,-0.193616305193705
AHAB,1,22,common_appraisal,0.46791957459499,-0.216539481491909,0.27002508060681,0.7379446552018,0.521405173709891,0.46791957459499,-0.216539481491909
AHAB,1,23,common_appraisal,0.18094019659532,0.21961434219285,-0.201734547252149,-0.0207943506568299,0.19881999153602,0.18094019659532,0.21961434219285
AHAB,1,24,common_appraisal,0.0651416819804391,0.16046535861648,0.675032376333024,0.740174058313463,0.900639416929943,0.0651416819804391,0.16046535861648
AHAB,1,25,common_appraisal,0.194991452522492,-0.125341008803576,0.0978939970235504,0.292885449546042,0.167544440742466,0.194991452522492,-0.125341008803576
AHAB,1,26,common_appraisal,0.226303602104366,0.246252096812207,0.779311918563641,1.00561552066801,1.25186761748021,0.226303602104366,0.246252096812207
AHAB,1,27,common_appraisal,0.14947823633665,0.306535010533643,1.15713881177328,1.30661704810993,1.61315205864357,0.14947823633665,0.306535010533643
AHAB,1,28,common_appraisal,0.627015821551057,-0.0286978202956644,0.262559098953551,0.889574920504608,0.860877100208944,0.627015821551057,-0.0286978202956644
AHAB,1,29,common_appraisal,0.385360524451482,0.072204405854105,0.231957030791759,0.617317555243241,0.689521961097346,0.385360524451482,0.072204405854105
AHAB,1,30,common_appraisal,0.0910544271725033,0.00279395259089171,0.495422862779727,0.58647728995223,0.589271242543122,0.0910544271725033,0.00279395259089171
AHAB,1,31,non_modifiable_emotion,0.144212833143555,-0.201380925508494,1.04990187504889,1.19411470819245,0.992733782683954,0.144212833143555,-0.201380925508494
AHAB,1,32,non_modifiable_emotion,0.407092098395794,-0.00501060816708676,1.63620437224237,2.04329647063817,2.03828586247108,0.407092098395794,-0.00501060816708676
AHAB,1,33,non_modifiable_emotion,0.021740825004661,-0.071378115523789,1.14772699346484,1.1694678184695,1.09808970294571,0.021740825004661,-0.071378115523789
AHAB,1,34,non_modifiable_emotion,0.245132149570174,-0.131600927231945,1.12678138042377,1.37191352999395,1.240312602762,0.245132149570174,-0.131600927231945
AHAB,1,35,non_modifiable_emotion,0.476473291532227,0.0396588808226009,-0.173100312187847,0.30337297934438,0.34303186016698,0.476473291532227,0.0396588808226009
AHAB,1,36,non_modifiable_emotion,0.190283999005462,-0.0857063575919407,0.103969551671374,0.294253550676836,0.208547193084895,0.190283999005462,-0.0857063575919407
AHAB,1,37,non_modifiable_emotion,-0.0126004266829021,0.0142837626233721,1.08497331690428,1.07237289022138,1.08665665284475,-0.0126004266829021,0.0142837626233721
AHAB,1,38,non_modifiable_emotion,0.185231312509451,0.0397901793694973,0.392307934479717,0.577539246989169,0.617329426358666,0.185231312509451,0.0397901793694973
AHAB,1,39,non_modifiable_emotion,0.0882875059424949,-0.0883201787334034,0.603918436718614,0.692205942661109,0.603885763927706,0.0882875059424949,-0.0883201787334034
AHAB,1,40,non_modifiable_emotion,0.268112717962099,0.00497330914217013,0.25838866620842,0.526501384170519,0.531474693312689,0.268112717962099,0.00497330914217013
AHAB,1,41,non_modifiable_emotion,0.091504733294825,0.0632991107184573,0.213366534374218,0.304871267669043,0.3681703783875,0.091504733294825,0.0632991107184573
AHAB,1,42,non_modifiable_emotion,0.666361558846409,-0.0235417834059553,0.189891356215536,0.856252915061945,0.83271113165599,0.666361558846409,-0.0235417834059553
AHAB,1,43,non_modifiable_emotion,0.253637018034587,0.0133623170691568,0.561306438534647,0.814943456569234,0.82830577363839,0.253637018034587,0.0133623170691568
AHAB,1,44,non_modifiable_emotion,0.235893130903908,0.10201241405836,0.24902278726222,0.484915918166128,0.586928332224488,0.235893130903908,0.10201241405836
AHAB,1,45,non_modifiable_emotion,0.271206068064362,0.0962189152417193,-0.00204332014238769,0.269162747921975,0.365381663163694,0.271206068064362,0.0962189152417193
AHAB,1,46,non_modifiable_emotion,0.255860432733843,0.03768398116907,0.281688693177903,0.537549125911746,0.575233107080816,0.255860432733843,0.03768398116907
AHAB,1,47,non_modifiable_emotion,0.256931285803243,-0.0455082333165785,0.276135923653373,0.533067209456616,0.487558976140037,0.256931285803243,-0.0455082333165785
AHAB,1,48,non_modifiable_emotion,0.406021543523424,0.00476964554614593,1.20351006072862,1.60953160425204,1.61430124979819,0.406021543523424,0.00476964554614593
AHAB,1,49,non_modifiable_emotion,0.340173945827107,0.0256191667195659,0.982760064707115,1.32293401053422,1.34855317725379,0.340173945827107,0.0256191667195659
AHAB,1,50,non_modifiable_emotion,-0.00737982374780318,0.00644632735673119,0.436789288240321,0.429409464492517,0.435855791849249,-0.00737982374780318,0.00644632735673119
AHAB,1,51,non_modifiable_emotion,0.297525576064963,-0.133125974576968,0.00840954139895795,0.305935117463921,0.172809142886953,0.297525576064963,-0.133125974576968
AHAB,1,52,non_modifiable_emotion,0.28163663910762,-0.108471878768591,0.476089077490953,0.757725716598572,0.649253837829981,0.28163663910762,-0.108471878768591
AHAB,1,53,non_modifiable_emotion,0.264923309508629,-0.0092420610977059,0.246469406063593,0.511392715572222,0.502150654474516,0.264923309508629,-0.0092420610977059
AHAB,1,54,modifiable_emotion,0.206528102018715,-0.137237121612453,1.46587697034376,1.67240507236247,1.53516795075002,0.206528102018715,-0.137237121612453
AHAB,1,55,modifiable_emotion,-0.0217458678014351,-0.364423868331042,1.67182678074548,1.65008091294404,1.285657044613,-0.0217458678014351,-0.364423868331042
AHAB,1,56,modifiable_emotion,-0.0650717076449291,-0.123944013494108,0.978657000586637,0.913585292941708,0.7896412794476,-0.0650717076449291,-0.123944013494108
AHAB,1,57,modifiable_emotion,0.663690579049142,-0.0535335930454479,1.38810513533469,2.05179571438383,1.99826212133838,0.663690579049142,-0.0535335930454479
AHAB,1,58,modifiable_emotion,-0.0407901177020281,-0.0928785543476275,1.30484290025353,1.2640527825515,1.17117422820388,-0.0407901177020281,-0.0928785543476275
AHAB,1,59,modifiable_emotion,0.478197207359981,0.147729336307056,-0.109637310146764,0.368559897213217,0.516289233520273,0.478197207359981,0.147729336307056
AHAB,1,60,modifiable_emotion,0.514628791017458,-0.163953848183155,0.227828058646992,0.74245684966445,0.578503001481295,0.514628791017458,-0.163953848183155
AHAB,1,61,modifiable_emotion,0.498405370781984,0.479336609086022,-0.147353611015569,0.351051759766415,0.830388368852437,0.498405370781984,0.479336609086022
AHAB,2,1,reappraisal_only,-0.268345197238894,0.451222072654724,-0.219000921442771,-0.487346118681664,-0.0361240460269399,-0.268345197238894,0.451222072654724
AHAB,2,2,reappraisal_only,-0.10192091882387,0.0436317905495122,0.035245710646138,-0.0666752081777324,-0.0230434176282203,-0.10192091882387,0.0436317905495122
AHAB,2,3,reappraisal_only,0.0369342733816854,-0.0357059386081127,-0.143187874767544,-0.106253601385859,-0.141959539993971,0.0369342733816854,-0.0357059386081127
AHAB,2,4,reappraisal_only,0.164327407840302,0.129429347326706,-0.020922854532583,0.143404553307719,0.272833900634425,0.164327407840302,0.129429347326706
AHAB,2,5,reappraisal_only,-0.068253278119854,0.079266476132772,0.260046444244453,0.191793166124599,0.271059642257371,-0.068253278119854,0.079266476132772
AHAB,2,6,reappraisal_only,0.0664091831886322,0.00966623600609986,0.233233596954523,0.299642780143155,0.309309016149255,0.0664091831886322,0.00966623600609986
AHAB,2,7,reappraisal_only,-0.0231345507665537,0.375504097136824,-0.45560432421996,-0.478738874986514,-0.10323477784969,-0.0231345507665537,0.375504097136824
AHAB,2,8,reappraisal_only,0.458879311924631,-0.029146113449877,0.950189171731472,1.4090684836561,1.37992237020623,0.458879311924631,-0.029146113449877
AHAB,2,9,reappraisal_only,-0.50060809024144,0.469524520763662,0.523459250479937,0.022851160238497,0.492375681002159,-0.50060809024144,0.469524520763662
AHAB,2,10,reappraisal_only,0.00293744495138526,-0.188185949344188,0.18353493350812,0.186472378459505,-0.00171357088468292,0.00293744495138526,-0.188185949344188
AHAB,2,11,reappraisal_only,-0.225525580133711,0.113846675412995,0.833971839291709,0.608446259157998,0.722292934570994,-0.225525580133711,0.113846675412995
AHAB,2,12,reappraisal_only,0.150791553147137,-0.0891551200114191,0.178162404894829,0.328953958041966,0.239798838030547,0.150791553147137,-0.0891551200114191
