dataset,subject,roi_id,source_system,emotion_generation,reappraisal_effect,look_neu_base,look_neg_base,reg_neg_base,look_negative_minus_neutral,regulate_negative_minus_look_negative
PIP,1,1,reappraisal_only,0.119223631311588,0.56734292521729,-0.198822583554242,-0.0795989522426543,0.487743972974636,0.119223631311588,0.56734292521729
PIP,1,2,reappraisal_only,0.135010681635757,0.242226895221787,-0.268516244205139,-0.133505562569382,0.108721332652405,0.135010681635757,0.242226895221787
PIP,1,3,reappraisal_only,-0.091537899337709,-0.0656603373153585,-0.02549921703557,-0.117037116373279,-0.182697453688637,-0.091537899337709,-0.0656603373153585
PIP,1,4,reappraisal_only,0.333790570250594,0.185940987709316,-0.235069489624844,0.0987210806257501,0.284662068335067,0.333790570250594,0.185940987709316
PIP,1,5,reappraisal_only,0.391727580558981,0.195802674055153,-0.165678385683956,0.226049194875025,0.421851868930178,0.391727580558981,0.195802674055153
PIP,1,6,reappraisal_only,0.583148624784536,0.212233411388242,-0.689210003551754,-0.106061378767218,0.106172032621024,0.583148624784536,0.212233411388242
PIP,1,7,reappraisal_only,0.477272575760655,0.534189686516005,-0.781072603589432,-0.303800027828776,0.230389658687228,0.477272575760655,0.534189686516005
PIP,1,8,reappraisal_only,0.273877539807423,0.090706712549383,-0.92907205703245,-0.655194517225027,-0.564487804675644,0.273877539807423,0.090706712549383
PIP,1,9,reappraisal_only,-0.430668129795231,0.709820749135179,-0.120970522705466,-0.551638652500697,0.158182096634482,-0.430668129795231,0.709820749135179
PIP,1,10,reappraisal_only,-0.187893565744162,0.49933436436748,-0.405983785675331,-0.593877351419492,-0.0945429870520126,-0.187893565744162,0.49933436436748
PIP,1,11,reappraisal_only,0.299467298887404,0.0942906751896122,-0.552718083493944,-0.25325078460654,-0.158960109416928,0.299467298887404,0.0942906751896122
PIP,1,12,reappraisal_only,-0.249597385525703,-0.149834245573838,-0.0178441152721643,-0.267441500797868,-0.417275746371706,-0.249597385525703,-0.149834245573838
PIP,1,13,reappraisal_only,0.114507805526124,-0.0762866179359012,-0.10711319806786,0.00739460745826364,-0.0688920104776376,0.114507805526124,-0.0762866179359012
PIP,1,14,reappraisal_only,0.0115720264197506,0.0398084080996032,0.335363474040431,0.346935500460181,0.386743908559785,0.0115720264197506,0.0398084080996032
PIP,1,15,reappraisal_only,0.131158583144453,0.157341379984623,-0.402722495403595,-0.271563912259142,-0.11422253227452,0.131158583144453,0.157341379984623
PIP,1,16,reappraisal_only,-0.0308977525392375,0.0846461640235416,-0.194352167871936,-0.225249920411173,-0.140603756387632,-0.0308977525392375,0.0846461640235416
PIP,1,17,common_appraisal,0.14554668404265,0.0104271070860539,0.400519435981621,0.546066120024271,0.556493227110325,0.14554668404265,0.0104271070860539
PIP,1,18,common_appraisal,0.173296804008429,0.205318046691851,0.620923331778661,0.794220135787089,0.99953818247894,0.173296804008429,0.205318046691851
PIP,1,19,common_appraisal,0.649299879623825,0.552355712350629,0.319818600118105,0.96911847974193,1.52147419209256,0.649299879623825,0.552355712350629
PIP,1,20,common_appraisal,0.171090359195448,0.440691301944325,-0.174894879610722,-0.00380452041527447,0.436886781529051,0.171090359195448,0.440691301944325
PIP,1,21,common_appraisal,0.71455142390412,0.367904996678646,-0.530961501978176,0.183589921925944,0.551494918604591,0.71455142390412,0.367904996678646
PIP,1,22,common_appraisal,-0.256755492752552,0.424663363767456,0.281753411611652,0.0249979188591,0.449661282626556,-0.256755492752552,0.424663363767456
