roi_id,source_system,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_signed_logbf,emotion_generation_p_gt0,emotion_generation_p_lt0,emotion_generation_p_rope,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_signed_logbf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,reappraisal_effect_p_rope,look_neutral_base_mean,look_negative_base_mean,regulate_negative_base_mean,look_negative_minus_neutral_mean,regulate_negative_minus_look_negative_mean,z_emotion_generation_mean,z_emotion_generation_sd,z_emotion_generation_t,z_emotion_generation_signed_logbf,z_emotion_generation_p_gt0,z_emotion_generation_p_lt0,z_emotion_generation_p_rope,z_reappraisal_effect_mean,z_reappraisal_effect_sd,z_reappraisal_effect_t,z_reappraisal_effect_signed_logbf,z_reappraisal_effect_p_gt0,z_reappraisal_effect_p_lt0,z_reappraisal_effect_p_rope,z_look_neutral_base_mean,z_look_negative_base_mean,z_regulate_negative_base_mean,z_look_negative_minus_neutral_mean,z_regulate_negative_minus_look_negative_mean
1,reappraisal_only,0.0124409024474883,0.310336954252259,0.531832318470112,2.33605224117048,0.702578931585301,0.297421068414699,0.942018493025258,0.16451631150517,0.248689049213714,8.77624292474538,29.0088567000446,1,8.45132578982359e-19,5.01423690640186e-10,-0.0517007527829168,-0.0392598503354285,0.125256461169742,0.0124409024474883,0.16451631150517,-1.13476142264739,0.776780070269096,-1.08165716801695,-0.785961231543578,-0.633911488365943,0.633911488365943,1.6289404636044,1.80425049768083,0.358838498058657,1.63370276047112,2.32440194871677,0.925966470611717,-0.925966470611717,-0.815954292221095,-1.12364167971244,-1.23818756619219,-0.889300168948745,-1.13476142264739,1.80425049768083
2,reappraisal_only,-0.00146392243145741,0.209359542300079,-0.0927644639262694,-2.47087724111906,0.463045341458471,0.536954658541529,0.998394692618083,0.134492796216494,0.204506421548389,8.72465790909742,28.6984835886489,1,1.33493247072853e-18,2.11324504381404e-08,0.000235452200690595,-0.00122847023076682,0.133264325985727,-0.00146392243145741,0.134492796216494,-1.33064279424319,-0.631041473124195,-1.21885622812952,-1.0640435388525,-1.57261065838062,1.57261065838062,1.76735219266913,1.38125682425113,-0.29241864134267,1.62169675618778,2.2962904956693,0.925966470611717,-0.925966470611717,-0.815954248445853,-0.933422553928142,-1.1166160906266,-0.861834206598227,-1.33064279424319,1.38125682425113
3,reappraisal_only,0.00289165439996968,0.180254741161204,0.212821756727115,2.45282833869697,0.5842670034706,0.4157329965294,0.999687399068575,0.0621878796010084,0.185233446575504,4.45392270040755,6.77886789725208,0.99999578422666,4.21577334040505e-06,0.191358470921194,0.0562876974418827,0.0591793518418524,0.121367231442861,0.00289165439996968,0.0621878796010084,-1.26928449802166,-1.03681901552042,-1.15173109486172,-0.77920569939809,-1.09755965005091,1.09755965005091,1.77052597409247,0.362571237565429,-0.576504564064856,0.627716923779337,0.310963079398002,0.92595590878461,-0.925955908784611,-0.409926833051937,-0.728128210774038,-0.923515865368872,-0.902639734451623,-1.26928449802166,0.362571237565429
4,reappraisal_only,0.00141924113289137,0.212261308601178,0.0887036899161655,2.47123980401193,0.535341300015344,0.464658699984656,0.99814755308993,0.0772217673555688,0.178016170934154,5.75488455060122,12.4688777656932,0.999999995664949,4.33505132209856e-09,0.0212455306862537,0.0891483287177145,0.0905675698506058,0.167789337206175,0.00141924113289137,0.0772217673555688,-1.29002681824663,-0.590585206384914,-1.17899489542777,-0.778140590626558,-1.2892927476992,1.2892927476992,1.76674542936017,0.574379859776624,-0.68288805768729,0.930505502006823,0.82632487906241,0.925966459751061,-0.925966459751062,-0.770875186913004,-0.607774392931904,-0.823179985676959,-0.743417789722775,-1.29002681824663,0.574379859776624
5,reappraisal_only,0.00454605505322316,0.274863468989735,0.219418883757207,2.4514256518519,0.586838119346059,0.413161880653941,0.981642262538363,0.0869947227377842,0.239389539006439,4.82107706560174,8.27347897248175,0.999999286074109,7.13925891071487e-07,0.0201736762872238,0.177784852424159,0.182330907477382,0.269325630215167,0.00454605505322316,0.0869947227377842,-1.24597846778039,0.28221068285525,-1.15028196855578,-0.779286845251331,-1.08748380082648,1.08748380082648,1.72622255232237,0.712068543384802,0.221762621510547,0.713169197580152,0.446334629068045,0.925964682004688,-0.925964682004688,-0.773149464697952,-0.283138388870369,-0.529848417708336,-0.395161161385461,-1.24597846778039,0.712068543384802
6,reappraisal_only,0.0142227083330298,0.277123776070504,0.680871020338866,2.24730831531096,0.752023446724318,0.247976553275682,0.955564926408785,0.0799054216027254,0.2230897448964,4.75174333619806,7.98416988578349,0.999998991648671,1.00835132860512e-06,0.0376700299746751,0.306414835135938,0.320637543468967,0.400542965071693,0.0142227083330298,0.0799054216027254,-1.10966059729965,0.313723760299713,-1.0489192955317,-0.791095094179506,-0.440145239138862,0.440145239138863,1.66219891807306,0.612189182146285,-0.0184982648573688,0.697032320587007,0.420131009913175,0.925963944377137,-0.925963944377137,-0.736025421968842,0.187975795710628,-0.0877360943653914,0.0548976822291575,-1.10966059729965,0.612189182146285
7,reappraisal_only,0.020586845562983,0.339149572024256,0.80529474876677,2.15660759290849,0.789675194318783,0.210324805681217,0.872161953666248,0.117010331804747,0.301330058364199,5.15155201307249,9.69603549568811,0.999999870830224,1.29169776381071e-07,0.0015876952124091,0.26359179597675,0.284178641539733,0.40118897334448,0.020586845562983,0.117010331804747,-1.02000711798725,1.17848400817734,-1.02158835327082,-0.796342158080316,-0.292593222748125,0.292593222748125,1.457432549467,1.13495082806694,1.13477317750394,0.790084627090692,0.575179975012027,0.925966147001139,-0.92596614700114,-0.812585496222551,0.0311341266888266,-0.204280971065647,0.0571134088062455,-1.02000711798725,1.13495082806694
8,reappraisal_only,0.000410417707155664,0.411343373512053,0.0132366449016193,2.47502499494635,0.505280503103058,0.494719496896942,0.893133956256271,0.126967952497899,0.389676416927632,4.32261271703699,6.2672182232666,0.999992290386895,7.70961310509499e-06,0.00439175659158441,0.23308135818375,0.233491775890906,0.360459728388805,0.000410417707155664,0.126967952497899,-1.30423841156416,2.1850060319554,-1.19557200235064,-0.777921616199634,-1.40709687319409,1.40709687319409,1.5089218510056,1.27524121428978,2.43700891573052,0.59715556399317,0.2646213852921,0.92594715562628,-0.92594715562628,-0.806635793998012,-0.0806119819479594,-0.366307093487842,-0.0825827441913035,-1.30423841156416,1.27524121428978
9,reappraisal_only,-0.0168828471911907,0.267340720736796,-0.83779335032485,-2.1304332274103,0.201073387024372,0.798926612975628,0.949398545270255,0.104639195518208,0.213706636178273,6.49580108703833,16.1548319590303,0.999999999958704,4.12963628288829e-11,0.000347052973256788,-0.03522787445657,-0.0521107216477607,0.0525284738704468,-0.0168828471911907,0.104639195518208,-1.54785373769363,0.177328938995266,-1.38250942944513,-1.04434875090305,-2.59924268967193,2.59924268967194,1.6470595599464,0.960657034284686,-0.15680639330884,1.10294796418942,1.16017315533599,0.925966470508257,-0.925966470508257,-0.815217910742775,-1.0633088826708,-1.27926678507524,-1.13874795645433,-1.54785373769363,0.960657034284686
10,reappraisal_only,-0.0152727479479665,0.210371397607109,-0.963134248044058,-2.01987252725289,0.167740078357008,0.832259921642992,0.985717885794192,0.0931340855290775,0.235247949184522,5.25217444765962,10.1430950398334,0.999999924843004,7.51569961019121e-08,0.00749770053909864,-0.0749254891387909,-0.0901982370867574,0.00293584844232008,-0.0152727479479665,0.0931340855290775,-1.52517179448947,-0.616934241888079,-1.41004183730474,-1.03795278135311,-2.72987133830251,2.72987133830251,1.73622879726137,0.798564464819632,0.160715099384273,0.813503702678412,0.615671541205216,0.925966282320001,-0.925966282320001,-0.800045552517901,-1.20870351754945,-1.40101770339068,-1.30884438217735,-1.52517179448947,0.798564464819632
