cluster,n,cor_success_reappraisal_effect,cor_success_emotion_generation,cor_emotionreact_emotion_generation
2,182,0.0619003720096749,-0.0630881285952867,-0.130496732481742
1,182,-0.0459479485244354,-0.0745111588360258,-0.13776307837138
