dataset,subject,cluster,emotion_generation,reappraisal_effect,look_neg_base,reg_neg_base,reg_success,emotion_reactivity
PIP,1,1,0.169753877465385,0.089015999659416,0.240321800863816,0.329337800523232,0.8,2.66666666666666
PIP,1,2,0.0335906129852267,0.00611415716871097,1.48928090896567,1.49539506613438,0.8,2.66666666666666
PIP,2,1,0.0876125677017954,0.0155183863513145,0.402737226525009,0.418255612876324,0.0833333333333304,3.01666666666666
PIP,2,2,0.0517764784563439,-0.0323772006342295,1.19629685157192,1.16391965093769,0.0833333333333304,3.01666666666666
PIP,3,1,0.105123301262427,-0.0615828739608551,0.278448026005727,0.216865152044872,1.6,0.73333333333334
PIP,3,2,0.202344583985228,0.0598532165233109,1.44035801472319,1.50021123124651,1.6,0.73333333333334
PIP,4,1,-0.0107825110639732,0.0508877182788251,-0.0672416690308504,-0.0163539507520253,-0.18681318681319,1.91794871794871
PIP,4,2,0.179140873942538,-0.114308806085586,0.657530126842545,0.543221320756959,-0.18681318681319,1.91794871794871
PIP,5,1,0.0211450317027577,0.0507239581471131,0.136772804228214,0.187496762375327,1.89047619047619,2.82380952380953
PIP,5,2,-0.0989363761648315,0.154829458493563,0.84935903003481,1.00418848852837,1.89047619047619,2.82380952380953
PIP,6,1,0.178020666619596,0.0397337154705185,0.242756485476029,0.282490200946547,-0.46666666666667,2.13333333333333
PIP,6,2,0.145082654954838,-0.0150631884983074,1.26722071132802,1.25215752282971,-0.46666666666667,2.13333333333333
PIP,7,1,-0.0268384962805543,0.0106034027088174,0.41836083968379,0.428964242392607,0.56666666666667,2.53333333333334
PIP,7,2,0.1146053823832,-0.218681216319578,1.30038016330104,1.08169894698146,0.56666666666667,2.53333333333334
PIP,8,1,0.0654795800303378,0.0923519952465894,0.233282286198199,0.325634281444788,0.66666666666667,2.8
PIP,8,2,0.345801951673873,0.0947949820353867,2.00331513062975,2.09811011266514,0.66666666666667,2.8
PIP,9,1,0.0870669352510226,-0.0154134154737461,0.208594344267107,0.193180928793361,0.95238095238096,2.6
PIP,9,2,0.364187310904032,-0.0132900342628866,1.09089423787824,1.07760420361535,0.95238095238096,2.6
PIP,10,1,0.157739768981996,-0.0879489183892538,0.115495051363167,0.0275461329739129,0.19047619047619,2.76666666666666
PIP,10,2,0.388461550180718,-0.0646387381520171,1.11467726591962,1.0500385277676,0.19047619047619,2.76666666666666
PIP,11,1,0.201679361137411,0.0292100607968906,0.58173679383528,0.610946854632171,0.4952380952381,1.06666666666667
PIP,11,2,0.0699685404506343,0.0347332994394624,1.90413509268825,1.93886839212771,0.4952380952381,1.06666666666667
PIP,12,1,0.105450921315654,0.0762865421621171,0.488775656611937,0.565062198774054,0.17142857142857,2.57142857142857
PIP,12,2,0.170292650780899,0.0166782183604686,1.70277915485606,1.71945737321653,0.17142857142857,2.57142857142857
PIP,13,1,0.0735637284395669,0.0858069041200949,0.123360818277821,0.209167722397915,-0.46666666666667,2.73333333333333
PIP,13,2,0.112883350116249,-0.0337995955856847,1.07358686981357,1.03978727422789,-0.46666666666667,2.73333333333333
PIP,14,1,0.101091578554354,0.132109210991425,0.145557307797213,0.277666518788639,0.66666666666667,2.4
PIP,14,2,0.14141082594057,-0.0208716702153707,0.874497682201391,0.85362601198602,0.66666666666667,2.4
PIP,15,1,0.06321278581046,0.0827529014380079,0.217431688940074,0.300184590378082,1.33333333333334,2.86666666666667
PIP,15,2,0.107185265352997,-0.126577977608615,1.23664754588654,1.11006956827793,1.33333333333334,2.86666666666667
PIP,16,1,0.0355959495265398,0.120223628258494,0.3754985187526,0.495722147011094,1.11794871794872,2.91794871794872
PIP,16,2,-0.00130115355069526,0.0708639525028987,1.55451806447888,1.62538201698178,1.11794871794872,2.91794871794872
PIP,17,1,0.0728229386931112,-0.0721035844999459,0.256314502727049,0.184210918227103,-0.41666666666667,0.91666666666667
PIP,17,2,0.12406147985188,0.00766709319522582,1.83885728547369,1.84652437866891,-0.41666666666667,0.91666666666667
PIP,18,1,-0.0483223420789743,0.0140340527039855,0.0220500992451105,0.0360841519490959,0.0384615384615401,2.40512820512821
PIP,18,2,-0.0287229486669554,0.0136635063951854,0.515373637507056,0.529037143902242,0.0384615384615401,2.40512820512821
PIP,19,1,-0.0354776742648282,0.159865847623064,-0.000662532968830615,0.159203314654233,1.73333333333334,2.2
PIP,19,2,0.328847208935646,-0.0244415422816394,0.918863221971502,0.894421679689863,1.73333333333334,2.2
PIP,20,1,0.0404844191250448,0.165996766448412,-0.0171801602402027,0.14881660620821,0.86666666666667,1.86666666666667
PIP,20,2,0.177204170537417,0.106643184640795,0.457431041626407,0.564074226267201,0.86666666666667,1.86666666666667
PIP,21,1,0.258215126286425,-0.164947135200998,0.382941124639971,0.217993989438972,1.02380952380953,2.38095238095238
PIP,21,2,0.120696639625222,-0.0753585737436529,1.79627851220736,1.72091993846371,1.02380952380953,2.38095238095238
PIP,22,1,0.140541661312603,0.0457734505049861,0.395361840725966,0.441135291230952,0.19047619047619,2.13333333333333
PIP,22,2,0.133530593827461,0.0404002269769528,1.255947242053,1.29634746902996,0.19047619047619,2.13333333333333
PIP,23,1,0.0684375675772752,0.140628775474079,0.359568260873929,0.500197036348008,1.95714285714286,3.02380952380953
PIP,23,2,0.319988038299882,-0.0219132530938269,1.31471467574819,1.29280142265436,1.95714285714286,3.02380952380953
PIP,24,1,0.0819120689670843,-0.0552810440784694,0.373455388414476,0.318174344336007,0.06666666666667,3.6
PIP,24,2,0.021820507163983,-0.211966047781851,1.22701463506234,1.01504858728049,0.06666666666667,3.6
PIP,25,1,-0.0123771939697926,-0.0156340183267547,0.235856084051465,0.220222065724711,-0.0714285714285701,0.42857142857143
