k,model_family,kept_draws,mean_loglik,n_roi_units,n_subject_feature_rows,n_parameters_approx,aic_approx,bic_approx,bic_roi_approx,mean_membership_entropy,n_pointwise_units,elpd_waic,p_waic,waic,elpd_loo,p_loo,looic,pareto_k_max,pareto_k_bad,loo_method,requested_K,occupied_K,effective_K,terminal_cluster_count,empty_cluster_count,minimum_cluster_size,maximum_cluster_size,mean_max_posterior,mean_max_posterior_probability,stable_080_fraction,stable_090_fraction,uncertain_060_fraction,interpretable_cluster_fraction,cluster_size_balance,effect_strength_score,mean_coclustering_entropy,coclustering_sharpness,confident_pair_fraction,delta_bic,delta_aic,delta_waic,delta_looic,model_performance_score,assignment_stability_score,coclustering_score,interpretability_score,overall_score,overall_recommended_K
2,Bayesian hierarchical ROI mixture clustering,2000,-9732.06823547882,61,11102,29,19522.1364709576,19734.2680069439,19583.3518130187,-1.11022302462516e-15,61,-10014.7928273162,476.42092032193,20029.5856546324,-9931.03869993569,392.666792941417,19862.0773998714,3.19931957525788,21,psis_loo,2,2,2,2,0,3,58,1,1,1,1,0,1,0.0517241379310345,1,-1.11022302462516e-15,1,1,0,0,1.76817320571354,1.25745711309719,0.875,1,1,0.857758620689655,0.928663793103448,TRUE
3,Bayesian hierarchical ROI mixture clustering,2000,-9733.1338269842,61,11102,44,19554.2676539684,19876.1223982234,19647.146103992,-1.11022302462516e-15,61,-10013.9087407134,474.859659912206,20027.8174814267,-9930.40997137914,391.360890577995,19860.8199427583,3.19902559175671,24,psis_loo,3,2,2,2,1,3,58,1,1,1,1,0,1,0.0517241379310345,1,-1.11022302462516e-15,1,1,141.85439127951,32.1311830107588,0,0,0.875,1,1,0.774425287356322,0.916163793103448,FALSE
4,Bayesian hierarchical ROI mixture clustering,2000,-9738.4976369953,61,11102,59,19594.9952739906,20026.5732265144,19719.5368319768,0.0385663886920398,61,-10020.2495224885,483.674324092289,20040.499044977,-9945.14857962269,408.573381226481,19890.2971592454,3.52113079051693,29,psis_loo,4,2,1,2,2,3,58,0.983016393442623,0.983016393442623,0.950819672131147,0.950819672131147,0,1,0.0517241379310345,1,-1.11022302462516e-15,1,1,292.305219570473,72.8588030329702,12.6815635503117,29.4772164870992,0.3125,0.969038500409076,1,0.732758620689655,0.677173418205717,FALSE
5,Bayesian hierarchical ROI mixture clustering,2000,-9736.16657365114,61,11102,74,19620.3331473023,20161.6343080948,19776.5378132511,0.0400686599205773,61,-10024.9317847747,478.718437379668,20049.8635695495,-9938.70211050934,392.488763114289,19877.4042210187,3.43434758427932,26,psis_loo,5,2,2,2,3,3,58,0.988754098360656,0.988754098360656,1,0.950819672131147,0,1,0.0517241379310345,1,-1.11022302462516e-15,1,1,427.366301150909,98.1966763446544,22.0460881227518,16.5842782603977,0.1875,0.989277624796851,1,0.707758620689655,0.628483199302661,FALSE
6,Bayesian hierarchical ROI mixture clustering,2000,-9733.94389892715,61,11102,89,19645.8877978543,20296.9121669156,19833.7555717657,0.010698917413384,61,-10015.3796571374,474.464304629061,20030.7593142748,-9934.39518926851,393.479836760167,19868.790378537,2.88622070591435,28,psis_loo,6,2,2,2,4,3,58,0.998573770491803,0.998573770491803,1,1,0,1,0.0517241379310345,1,-1.11022302462516e-15,1,1,562.644159971671,123.751326896665,2.94183284810788,7.9704357787341,0.25,0.99793671332147,1,0.691091954022989,0.653147971433816,FALSE
