roi_id,source_system,component_id,n_voxels,n_voxels_assigned,centroid_i,centroid_j,centroid_k,map_source,source_path,emotion_generation_n,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_2logbf,emotion_generation_signed_2logbf,emotion_generation_signed_logbf,emotion_generation_p_gt0,emotion_generation_p_lt0,emotion_generation_p_rope,reappraisal_effect_n,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_2logbf,reappraisal_effect_signed_2logbf,reappraisal_effect_signed_logbf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,reappraisal_effect_p_rope,look_neu_base_n,look_neu_base_mean,look_neu_base_sd,look_neu_base_t,look_neu_base_2logbf,look_neu_base_signed_2logbf,look_neu_base_signed_logbf,look_neu_base_p_gt0,look_neu_base_p_lt0,look_neu_base_p_rope,look_neg_base_n,look_neg_base_mean,look_neg_base_sd,look_neg_base_t,look_neg_base_2logbf,look_neg_base_signed_2logbf,look_neg_base_signed_logbf,look_neg_base_p_gt0,look_neg_base_p_lt0,look_neg_base_p_rope,reg_neg_base_n,reg_neg_base_mean,reg_neg_base_sd,reg_neg_base_t,reg_neg_base_2logbf,reg_neg_base_signed_2logbf,reg_neg_base_signed_logbf,reg_neg_base_p_gt0,reg_neg_base_p_lt0,reg_neg_base_p_rope,look_negative_minus_neutral_n,look_negative_minus_neutral_mean,look_negative_minus_neutral_sd,look_negative_minus_neutral_t,look_negative_minus_neutral_2logbf,look_negative_minus_neutral_signed_2logbf,look_negative_minus_neutral_signed_logbf,look_negative_minus_neutral_p_gt0,look_negative_minus_neutral_p_lt0,look_negative_minus_neutral_p_rope,regulate_negative_minus_look_negative_n,regulate_negative_minus_look_negative_mean,regulate_negative_minus_look_negative_sd,regulate_negative_minus_look_negative_t,regulate_negative_minus_look_negative_2logbf,regulate_negative_minus_look_negative_signed_2logbf,regulate_negative_minus_look_negative_signed_logbf,regulate_negative_minus_look_negative_p_gt0,regulate_negative_minus_look_negative_p_lt0,regulate_negative_minus_look_negative_p_rope,look_neutral_base_n,look_neutral_base_mean,look_neutral_base_sd,look_neutral_base_t,look_neutral_base_2logbf,look_neutral_base_signed_2logbf,look_neutral_base_signed_logbf,look_neutral_base_p_gt0,look_neutral_base_p_lt0,look_neutral_base_p_rope,look_negative_base_n,look_negative_base_mean,look_negative_base_sd,look_negative_base_t,look_negative_base_2logbf,look_negative_base_signed_2logbf,look_negative_base_signed_logbf,look_negative_base_p_gt0,look_negative_base_p_lt0,look_negative_base_p_rope,regulate_negative_base_n,regulate_negative_base_mean,regulate_negative_base_sd,regulate_negative_base_t,regulate_negative_base_2logbf,regulate_negative_base_signed_2logbf,regulate_negative_base_signed_logbf,regulate_negative_base_p_gt0,regulate_negative_base_p_lt0,regulate_negative_base_p_rope,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,cluster,max_posterior,roi_role_from_route_a_effects
48,non_modifiable_emotion,18,1561,1561,19.6816143497758,23.4766175528507,27.9429852658552,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii,176,0.212521711173482,0.246677510994321,11.4295749608556,91.4054673964442,91.4054673964442,45.7027336982221,1,1.48780876832655e-30,1.1600151865923e-18,176,-0.00414227240539494,0.172853193688754,-0.317919803619613,-4.85078812483149,-4.85078812483149,-2.42539406241575,0.375272885118128,0.624727114881872,0.999767654527254,176,1.23865689315312,0.581078992216208,28.2795297273296,100,100,50,1,3.08561900863946e-176,1.75473456357773e-162,176,1.4511786043266,0.643785487098259,29.9044637122015,100,100,50,1,8.60830090518375e-197,1.2621251294776e-183,176,1.44703633192121,0.628633668782169,30.5378270959767,100,100,50,1,4.10221902169763e-205,2.40314786998445e-191,176,0.212521711173482,0.246677510994321,11.4295749608556,91.4054673964442,91.4054673964442,45.7027336982221,1,1.48780876832655e-30,1.1600151865923e-18,176,-0.00414227240539494,0.172853193688754,-0.317919803619613,-4.85078812483149,-4.85078812483149,-2.42539406241575,0.375272885118128,0.624727114881872,0.999767654527254,176,1.23865689315312,0.581078992216208,28.2795297273296,100,100,50,1,3.08561900863946e-176,1.75473456357773e-162,176,1.4511786043266,0.643785487098259,29.9044637122015,100,100,50,1,8.60830090518375e-197,1.2621251294776e-183,176,1.44703633192121,0.628633668782169,30.5378270959767,100,100,50,1,4.10221902169763e-205,2.40314786998445e-191,0,0.7595,0.2405,0,2,0.7595,Non-modifiable-emotion-like: emotion generation with evidence against reappraisal modulation
49,non_modifiable_emotion,19,1229,1226,58.2880390561432,23.9576891781937,28.0358014646054,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii,176,0.20459289306297,0.205003717749099,13.2399132759857,100,100,50,1,2.58041930239699e-40,7.30038935316513e-24,176,-0.00841691377562874,0.162403076717915,-0.687566897147451,-4.48562338419224,-4.48562338419224,-2.24281169209612,0.24586278003377,0.75413721996623,0.999658280052355,176,1.01343542664401,0.499582948390685,26.9119278010537,100,100,50,1,7.96296771621989e-160,1.14445848211124e-144,176,1.21802831970698,0.538105362267229,30.0293823757803,100,100,50,1,2.02936867909948e-198,1.18029068821021e-182,176,1.20961140593135,0.520847538371445,30.8099924070103,100,100,50,1,9.62765878547529e-209,4.90322113090587e-192,176,0.20459289306297,0.205003717749099,13.2399132759857,100,100,50,1,2.58041930239699e-40,7.30038935316513e-24,176,-0.00841691377562874,0.162403076717915,-0.687566897147451,-4.48562338419224,-4.48562338419224,-2.24281169209612,0.24586278003377,0.75413721996623,0.999658280052355,176,1.01343542664401,0.499582948390685,26.9119278010537,100,100,50,1,7.96296771621989e-160,1.14445848211124e-144,176,1.21802831970698,0.538105362267229,30.0293823757803,100,100,50,1,2.02936867909948e-198,1.18029068821021e-182,176,1.20961140593135,0.520847538371445,30.8099924070103,100,100,50,1,9.62765878547529e-209,4.90322113090587e-192,0,0.7595,0.2405,0,2,0.7595,Gradient/other: not cleanly captured by the four original logical systems
57,modifiable_emotion,4,3884,3862,22.5818743563337,20.6779093717817,39.1125128733265,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii,176,0.226521030644587,0.202385361703645,14.8486088015161,100,100,50,1,3.55136858889518e-50,2.8877387084096e-31,176,-0.0727431214276567,0.131163505805913,-7.35758436380323,41.5550963720476,-41.5550963720476,-20.7775481860238,9.36340281472011e-14,0.999999999999906,0.0107142792264319,176,1.11254119517943,0.549768265170342,26.8468148635713,100,100,50,1,4.59434980661732e-159,2.71481990394091e-145,176,1.33906222582402,0.571458183613642,31.0865578713914,100,100,50,1,1.82988550689882e-212,4.54376981523203e-197,176,1.26631910439636,0.553427901404007,30.3555734973735,100,100,50,1,1.06052771473523e-202,3.40529376662848e-187,176,0.226521030644587,0.202385361703645,14.8486088015161,100,100,50,1,3.55136858889518e-50,2.8877387084096e-31,176,-0.0727431214276567,0.131163505805913,-7.35758436380323,41.5550963720476,-41.5550963720476,-20.7775481860238,9.36340281472011e-14,0.999999999999906,0.0107142792264319,176,1.11254119517943,0.549768265170342,26.8468148635713,100,100,50,1,4.59434980661732e-159,2.71481990394091e-145,176,1.33906222582402,0.571458183613642,31.0865578713914,100,100,50,1,1.82988550689882e-212,4.54376981523203e-197,176,1.26631910439636,0.553427901404007,30.3555734973735,100,100,50,1,1.06052771473523e-202,3.40529376662848e-187,0,0.7595,0.2405,0,2,0.7595,Modifiable-emotion-like: emotion generation down-regulated during reappraisal
