cluster,emotion_generation_n,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_two_log_bf,emotion_generation_signed_two_log_bf,emotion_generation_p_gt0,emotion_generation_p_lt0,reappraisal_effect_n,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_two_log_bf,reappraisal_effect_signed_two_log_bf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,look_neg_base_n,look_neg_base_mean,look_neg_base_sd,look_neg_base_t,look_neg_base_two_log_bf,look_neg_base_signed_two_log_bf,look_neg_base_p_gt0,look_neg_base_p_lt0,reg_neg_base_n,reg_neg_base_mean,reg_neg_base_sd,reg_neg_base_t,reg_neg_base_two_log_bf,reg_neg_base_signed_two_log_bf,reg_neg_base_p_gt0,reg_neg_base_p_lt0,n_rois,mean_max_posterior,role,route_b_label
1,176,0.0867058354739737,0.119478098134764,9.62756280492835,68.4529531398354,68.4529531398354,1,3.05814510049639e-22,176,0.0398092994665725,0.105478067056246,5.00701285802326,18.1302237602879,18.1302237602879,0.999999723593823,2.76406177167692e-07,176,0.296980416377582,0.226304765361578,17.409666290221,100,100,1,3.48444764584489e-68,176,0.336789715844155,0.220997580763377,20.2175085690455,100,100,1,3.43321746639097e-91,58,0.999499999999999,Common-appraisal-like: shared positive emotion-generation and reappraisal response,common-appraisal-like
3,176,0.214545211627013,0.19670354097831,14.4698151135502,100,100,1,9.39883812983263e-48,176,-0.0284341025362268,0.127997891702357,-2.94708758430028,3.39476407605481,-3.39476407605481,0.00160391165945319,0.998396088340547,176,1.3360897166192,0.520086394955833,34.0813243280819,100,100,1,6.97489698495412e-255,176,1.30765561408297,0.503398234881504,34.4618055956108,100,100,1,1.4985100373809e-260,3,0.495,Gradient/other: not cleanly captured by the four original logical systems,emotion-generation-stable-mixed
