tag,k,model_family,kept_draws,mean_loglik,n_roi_units,n_subject_feature_rows,n_parameters_approx,aic_approx,bic_approx,bic_roi_approx,mean_membership_entropy,n_pointwise_units,elpd_waic,p_waic,waic,elpd_loo,p_loo,looic,pareto_k_max,pareto_k_bad,loo_method,requested_K,occupied_K,effective_K,terminal_cluster_count,empty_cluster_count,minimum_cluster_size,maximum_cluster_size,mean_max_posterior,mean_max_posterior_probability,stable_080_fraction,stable_090_fraction,uncertain_060_fraction,interpretable_cluster_fraction,cluster_size_balance,effect_strength_score,mean_coclustering_entropy,coclustering_sharpness,confident_pair_fraction,delta_bic,delta_aic,delta_waic,delta_looic,model_performance_score,assignment_stability_score,coclustering_score,interpretability_score,overall_score,overall_recommended_K,is_selected,selection_rule
AHAB,2,Bayesian hierarchical ROI mixture clustering,2000,-9732.06823547882,61,11102,29,19522.1364709576,19734.2680069439,19583.3518130187,-1.11022302462516e-15,61,-10014.7928273162,476.42092032193,20029.5856546324,-9931.03869993569,392.666792941417,19862.0773998714,3.19931957525788,21,psis_loo,2,2,2,2,0,3,58,1,1,1,1,0,1,0.0517241379310345,1,-1.11022302462516e-15,1,1,0,0,1.76817320571354,1.25745711309719,0.875,1,1,0.857758620689655,0.928663793103448,TRUE,TRUE,overall_recommended_K
PIP,2,Bayesian hierarchical ROI mixture clustering,2000,-10321.6081179936,61,10736,29,20701.2162359872,20912.3756139043,20762.4315780482,-1.11022302462516e-15,61,-10514.7682265466,343.857888977445,21029.5364530931,-10478.5269922387,307.61665466962,20957.0539844774,2.57491166090136,18,psis_loo,2,2,2,2,0,3,58,1,1,1,1,0,1,0.0517241379310345,0.967249023805837,-1.11022302462516e-15,1,1,0,0,0,0,1,1,1,0.852845974260531,0.97792689613908,TRUE,TRUE,overall_recommended_K
