route,system,system_label,tag,map_type,roi_folder,component_id,n_voxels,centroid_i,centroid_j,centroid_k,original_voxels_in_system_map,exclusive_voxels_after_overlap_removal,overlap_voxels_removed_before_assignment,source_nifti
A,reappraisal_only,重评专属系统,PIP,after_cluster,r001_ac_pip,1,116,40.53,31.34,59.46,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r002_ac_pip,2,270,55.41,67.07,58.49,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r003_ac_pip,3,97,22.88,76.06,56.42,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r004_ac_pip,4,429,12.61,31.12,49.94,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r005_ac_pip,5,533,64.59,29.87,49.34,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r006_ac_pip,6,24,28.12,84.92,53.29,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r007_ac_pip,7,18,53.83,79.11,52.78,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r008_ac_pip,8,49,25.14,85.71,46.29,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r009_ac_pip,9,15,56.33,79.93,47.27,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r010_ac_pip,10,20,56.95,84.9,35.6,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r011_ac_pip,11,20,46.15,9.1,34.65,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r012_ac_pip,12,218,63.52,74.68,29.72,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r013_ac_pip,13,31,31.42,5.9,30.1,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r014_ac_pip,14,16,18,81.06,29.5,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r015_ac_pip,15,189,28.63,21.19,21.72,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r016_ac_pip,16,134,65.25,53.75,16.63,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r017_ac_pip,17,197,53.19,19.93,18.86,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r018_ac_pip,18,44,14.23,56.41,17.41,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r019_ac_pip,19,28,59.18,59.5,13.82,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
A,reappraisal_only,重评专属系统,PIP,after_cluster,r020_ac_pip,20,16,57.94,29.25,12.38,2464,2464,0,reappraisal_only_after_cluster_PIP.nii.gz
