cluster,dataset,subject,emotion_generation,reappraisal_effect,look_neg_base,reg_neg_base
3,PIP,1,0.0335906129852267,0.00611415716871097,1.48928090896567,1.49539506613438
3,PIP,2,0.0517764784563439,-0.0323772006342295,1.19629685157192,1.16391965093769
3,PIP,3,0.202344583985228,0.0598532165233109,1.44035801472319,1.50021123124651
3,PIP,4,0.179140873942538,-0.114308806085586,0.657530126842545,0.543221320756959
3,PIP,5,-0.0989363761648315,0.154829458493563,0.84935903003481,1.00418848852837
3,PIP,6,0.145082654954838,-0.0150631884983074,1.26722071132802,1.25215752282971
3,PIP,7,0.1146053823832,-0.218681216319578,1.30038016330104,1.08169894698146
3,PIP,8,0.345801951673873,0.0947949820353867,2.00331513062975,2.09811011266514
3,PIP,9,0.364187310904032,-0.0132900342628866,1.09089423787824,1.07760420361535
3,PIP,10,0.388461550180718,-0.0646387381520171,1.11467726591962,1.0500385277676
3,PIP,11,0.0699685404506343,0.0347332994394624,1.90413509268825,1.93886839212771
3,PIP,12,0.170292650780899,0.0166782183604686,1.70277915485606,1.71945737321653
3,PIP,13,0.112883350116249,-0.0337995955856847,1.07358686981357,1.03978727422789
3,PIP,14,0.14141082594057,-0.0208716702153707,0.874497682201391,0.85362601198602
3,PIP,15,0.107185265352997,-0.126577977608615,1.23664754588654,1.11006956827793
3,PIP,16,-0.00130115355069526,0.0708639525028987,1.55451806447888,1.62538201698178
3,PIP,17,0.12406147985188,0.00766709319522582,1.83885728547369,1.84652437866891
3,PIP,18,-0.0287229486669554,0.0136635063951854,0.515373637507056,0.529037143902242
3,PIP,19,0.328847208935646,-0.0244415422816394,0.918863221971502,0.894421679689863
3,PIP,20,0.177204170537417,0.106643184640795,0.457431041626407,0.564074226267201
3,PIP,21,0.120696639625222,-0.0753585737436529,1.79627851220736,1.72091993846371
3,PIP,22,0.133530593827461,0.0404002269769528,1.255947242053,1.29634746902996
3,PIP,23,0.319988038299882,-0.0219132530938269,1.31471467574819,1.29280142265436
3,PIP,24,0.021820507163983,-0.211966047781851,1.22701463506234,1.01504858728049
3,PIP,25,0.00739038173796437,-0.0514991376018132,1.0411577686095,0.989658631007682
3,PIP,26,0.0497989215289872,0.081650606828712,1.03366371119829,1.115314318027
3,PIP,27,0.532521044952399,-0.0593000424596427,-0.72894384557337,-0.788243888033012
3,PIP,28,-0.161163690433255,0.0906679076417858,-0.128902486902531,-0.0382345792607456
3,PIP,29,0.241658636326104,-0.0798867654380121,1.33440725706144,1.25452049162343
3,PIP,30,0.0990255207506756,0.0661708422588503,1.19560296831365,1.2617738105725
3,PIP,31,0.0272053954560389,-0.0636143102055839,1.46462715522445,1.40101284501887
3,PIP,32,0.30829640296446,-0.10102375517627,0.995485952198246,0.894462197021976
3,PIP,33,0.213824490444467,-0.0573382196184447,0.909039153082153,0.851700933463709
3,PIP,34,0.277840540927222,0.0439291743842319,1.28334582328178,1.32727499766601
