route,system,system_label,tag,map_type,roi_folder,component_id,n_voxels,centroid_i,centroid_j,centroid_k,original_voxels_in_system_map,exclusive_voxels_after_overlap_removal,overlap_voxels_removed_before_assignment,source_nifti
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r011_con_ahab_pip,11,761,39.72,33.45,47.1,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r012_con_ahab_pip,12,91,43.91,79.35,47.86,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r013_con_ahab_pip,13,16,15.06,25.12,48,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r014_con_ahab_pip,14,28,37.86,67,44.79,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r015_con_ahab_pip,15,3255,60.58,20.4,30.69,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r016_con_ahab_pip,16,3094,18.95,20.8,29.59,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r017_con_ahab_pip,17,1908,46.35,81.33,23.81,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r018_con_ahab_pip,18,184,69.15,73.67,18.23,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r019_con_ahab_pip,19,148,11.7,74.26,15.4,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,AHAB_PIP,consensus,r020_con_ahab_pip,20,60,56.5,53.62,17.17,31835,30940,895,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r001_ac_pip,1,4573,31.71,60.36,35.84,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r002_ac_pip,2,239,52.49,57.83,65.75,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r003_ac_pip,3,2322,22.18,23.53,46.99,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r004_ac_pip,4,113,39.75,71.32,69.67,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r005_ac_pip,5,1271,49.64,29.48,57.11,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r006_ac_pip,6,707,39,70.28,50.98,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r007_ac_pip,7,962,62.61,70.43,43.52,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r008_ac_pip,8,16,22.25,92.5,49,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r009_ac_pip,9,1266,60.23,19,32.44,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r010_ac_pip,10,70,30.24,40.67,36.66,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r011_ac_pip,11,74,55.16,64.14,37.86,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r012_ac_pip,12,15,51.47,44.2,33,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r013_ac_pip,13,256,39.9,87.72,26.24,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r014_ac_pip,14,83,62.55,38.89,26.02,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r015_ac_pip,15,20,59.6,46.2,23.7,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r016_ac_pip,16,53,20.66,41.25,23.98,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r017_ac_pip,17,44,40.36,28.91,21.59,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r018_ac_pip,18,475,66.85,74.17,14.14,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r019_ac_pip,19,72,44.04,18.49,16.69,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r020_ac_pip,20,244,13.75,75.33,13.28,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r021_ac_pip,21,76,54.79,53.16,17.64,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r022_ac_pip,22,58,53.64,75.67,17.43,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r023_ac_pip,23,117,25.39,54.5,15.6,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r024_ac_pip,24,22,29.09,81.77,13.95,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r025_ac_pip,25,107,28.42,37.02,13.76,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r026_ac_pip,26,17,51.88,38.18,13.29,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
A,non_modifiable_emotion,不可调节情绪系统,PIP,after_cluster,r027_ac_pip,27,18,53.33,20.39,12.56,13290,13290,0,non_modifiable_emotion_after_cluster_PIP.nii.gz
