system,tag,map_type,original_voxels,copied_file,source_nifti
common_appraisal,AHAB,after_cluster,24848,orig_ac_AHAB.nii.gz,common_appraisal_after_cluster_AHAB.nii.gz
common_appraisal,AHAB,before_cluster,24927,orig_bc_AHAB.nii.gz,common_appraisal_before_cluster_AHAB.nii.gz
common_appraisal,AHAB_PIP,consensus,18489,orig_con_AHAB_PIP.nii.gz,common_appraisal_consensus_AHAB_PIP.nii.gz
common_appraisal,PIP,after_cluster,5640,orig_ac_PIP.nii.gz,common_appraisal_after_cluster_PIP.nii.gz
common_appraisal,PIP,before_cluster,5738,orig_bc_PIP.nii.gz,common_appraisal_before_cluster_PIP.nii.gz
